Total transport,"Car, truck, or van",Public transportation,Bicycle,Walked,"Taxicab, motorcycle, or other",Worked at home,Total time,Time driving,Time public transportation,Time walking,"Time Taxicab, motorcycle, bicycle, or other",Total median earnings,Earnings Drove alone,Earnings Public transportation,Earnings Walked,"Earnings Taxicab, motorcycle, bicycle, or other",Earnings Worked at home,GEOID,city
152735781,130348039,7641160,837646,4073891,1936469,7898576,3901729885,3385019830,384833285,50709925,81166840,38565,40180,39553,21554,30442,42872,000US,U.S.
3980598,1063173,2229452,50272,397335,68670,171696,158189650.0,37853110.0,110476785.0,6339875.0,3519875.0,43760,49423,42519,38640,54184,41840,51000,New York
1964868,1541762,176672,18897,67341,36926,123270,58846505.0,47550435.0,8800555.0,878090.0,1617425.0,33692,38673,20758,20574,27621,39155,44000,Los Angeles
1328439,750554,374906,22684,86759,24865,68671,44169230.0,25260345.0,16295595.0,1322620.0,1290670.0,41618,42567,40899,42665,45982,50834,14000,Chicago
1112813,979768,41635,4604,21811,20927,44068,29597485.0,26621710.0,1933845.0,239910.0,802015.0,33936,37273,21854,20486,23118,42619,35000,Houston
785447,685017,23427,4926,12303,13275,46499,19373530.0,17369200.0,1209540.0,160130.0,634660.0,35201,37253,21825,21180,27367,43910,55000,Phoenix
725632,604392,28763,6127,22370,11506,52474,16465470.0,14327560.0,1323285.0,305135.0,509490.0,43109,47202,21300,23309,35938,45876,66000,San Diego
702009,631334,20482,1315,12207,10053,26618,16710180.0,15194190.0,1040360.0,171375.0,304250.0,31497,33707,17466,18177,20459,32426,65000,San Antonio
684950,400596,170411,14544,58438,12307,28654,22064615.0,12753650.0,7675750.0,977620.0,657595.0,36480,40455,31313,32457,35240,34606,60000,Philadelphia
662537,581297,24912,1273,13853,8475,32727,17077925.0,15366475.0,1242040.0,157450.0,311960.0,35365,37753,22525,24518,27266,50211,19000,Dallas
543051,449916,18949,6979,13083,6794,47330,12156580.0,10894770.0,748660.0,160625.0,352525.0,43462,45512,26097,27161,38828,59013,05000,Austin
519378,454174,23199,4053,9372,6692,21888,15382510.0,13573925.0,1372795.0,122555.0,313235.0,51772,54282,44817,22380,39007,50490,68000,San Jose
512455,200003,178167,20268,60294,19913,33810,16199080.0,6312165.0,7630190.0,1154810.0,1101910.0,67105,65450,64694,65304,87383,63395,67000,San Francisco
449912,385332,14852,639,9300,5029,34760,10743705.0,9641065.0,687645.0,127490.0,287510.0,39943,41531,25388,35909,35249,52983,12000,Charlotte
433362,387824,8117,2017,7502,7064,20838,10378735.0,9579260.0,429925.0,109935.0,259615.0,35209,37112,19239,21010,24544,40907,35000,Jacksonville
432543,232202,97626,15260,48798,6642,32015,11178720.0,6004090.0,3726900.0,842315.0,605410.0,58445,61174,53065,53543,64438,62621,63000,Seattle
412304,383208,3226,692,5026,3412,16740,10773030.0,10340370.0,168085.0,85020.0,179555.0,37637,39651,25550,20867,32099,50990,27000,Fort Worth
394894,303276,25824,8795,18489,4777,33733,9356980.0,7653490.0,1070205.0,286235.0,347050.0,45690,46751,37557,39458,52283,59879,20000,Denver
374671,165614,124713,8495,56622,6636,12591,11186895.0,4839815.0,5065845.0,897130.0,384105.0,47149,52435,41961,45309,56588,52887,07000,Boston
373844,144772,129713,16727,49976,7906,24750,10753220.0,4278435.0,4966820.0,908575.0,599390.0,63029,64628,57503,63139,76093,60069,50000,Washington D.C.
355887,233506,46075,21315,20631,4214,30146,8639245.0,5746130.0,1861745.0,323245.0,708130.0,42266,45459,31942,29442,49499,48597,59000,Portland
289205,254032,10121,682,4282,7929,12159,7228680.0,6309325.0,592460.0,71895.0,255005.0,35585,37643,18802,22339,25590,42944,40000,Las Vegas
275900,190419,48244,2590,17762,4514,12371,8268715.0,5301990.0,2508780.0,268125.0,189820.0,40570,46301,27048,32168,38026,40646,04000,Baltimore
270536,224397,19801,2132,12529,2246,9431,5808050.0,4779385.0,786480.0,138770.0,103420.0,31256,34497,18289,16704,26897,26786,53000,Milwaukee
248788,222184,6505,378,4943,2682,12096,5208965.0,4788095.0,264075.0,70465.0,86335.0,37840,39527,18203,24651,23189,41448,38000,Kansas City
246773,181108,25625,2671,12289,4982,20098,6164865.0,4536475.0,1262230.0,169935.0,196225.0,46697,53637,22628,27169,35528,53287,04000,Atlanta
244356,221890,3468,633,5629,2998,9738,4495305.0,4230905.0,123795.0,62305.0,78300.0,38117,40567,21495,17110,25228,39012,37000,Omaha
240595,218231,2036,1158,5878,3855,9437,5462125.0,5124295.0,93475.0,66090.0,178265.0,40766,42942,23049,18656,31016,52287,82000,Virginia Beach
238178,161769,31322,9638,17648,3960,13841,5209345.0,3557810.0,1090620.0,258105.0,302810.0,40179,45337,27336,24449,35267,46447,43000,Minneapolis
235764,205629,4624,2020,3760,3954,15777,5580510.0,5099750.0,250635.0,43795.0,186330.0,34255,36410,23120,16461,28081,41352,46000,Mesa
235761,195340,16135,1567,8899,4434,9386,5865245.0,4676505.0,922995.0,118400.0,147345.0,27006,30458,16223,20170,19397,20797,22000,Detroit
230450,204574,2195,1448,4353,2054,15826,4876900.0,4562855.0,102680.0,69765.0,141600.0,37499,39327,17165,17853,43138,42592,16000,Colorado Springs
229953,195147,7667,4313,6433,3530,12863,5696660.0,5006600.0,405985.0,93580.0,190500.0,39301,40466,36240,27178,41167,40450,64000,Sacramento
225998,191434,12396,1873,5403,3262,11630,6654700.0,5836380.0,618755.0,65560.0,134005.0,37310,41139,21127,21255,25032,42884,43000,Long Beach
220668,171389,20451,2022,8720,6666,11420,6122350.0,4833135.0,930295.0,122545.0,236380.0,29041,30912,18192,30946,28277,34102,45000,Miami
219406,134313,51577,5839,8070,4948,14659,6840615.0,3918160.0,2460145.0,138860.0,323450.0,45672,44793,53886,35506,44577,50046,53000,Oakland
198671,183872,582,360,2952,1908,8997,5205915.0,5056750.0,31115.0,38240.0,79810.0,35229,36975,40521,15826,30173,40628,04000,Arlington
191987,167387,9094,323,2750,1757,10676,5353345.0,4676840.0,537080.0,50115.0,89305.0,36657,38385,26077,20618,34597,48109,04000,Aurora
189785,163174,4231,1924,4504,2817,13135,4340080.0,3951660.0,209960.0,44330.0,134130.0,36902,39886,17569,17772,25785,48275,71000,Tampa
188669,175397,1354,633,2862,2387,6036,3391750.0,3232680.0,58235.0,31050.0,69785.0,33449,35768,14750,17337,20953,31255,79000,Wichita
178947,137883,12119,5469,9711,3480,10285,4075400.0,3182360.0,549530.0,132485.0,211030.0,34395,38751,19173,19886,27223,40707,55000,New Orleans
172461,154556,5477,1071,3362,2069,5926,4808300.0,4376665.0,289220.0,54090.0,88320.0,33092,36601,23268,20043,25417,31756,02000,Anaheim
160639,141653,7367,1242,3582,1848,4947,3977385.0,3498870.0,346125.0,53645.0,78745.0,27368,30205,18774,20169,23099,27110,69000,Santa Ana
155445,124519,15191,953,7881,1916,4985,3616655.0,2725725.0,715510.0,101235.0,74185.0,29034,32050,18006,19286,21073,27243,16000,Cleveland
154323,121971,14435,2079,5696,1651,8491,3544730.0,2788405.0,578390.0,63575.0,114355.0,35919,39288,28832,21799,38688,26930,58000,St. Paul
153531,134820,2002,400,1550,1612,13147,3765810.0,3548010.0,103180.0,29435.0,85180.0,53506,53913,56625,27036,50747,70844,58016,Plano
153311,123416,13466,1192,7196,1579,6462,3580785.0,2787270.0,630465.0,86915.0,76135.0,36112,40314,18020,27958,34111,37089,65000,St. Louis
153079,96928,27000,2739,16436,1395,8581,3506955.0,2237290.0,911985.0,245535.0,112145.0,37253,43208,29524,21229,36600,43354,61000,Pittsburgh
152308,132483,5265,924,2695,2926,8015,3761435.0,3282920.0,310355.0,47750.0,120410.0,32227,35089,17075,20552,25875,48497,53000,Orlando
